Checkpoint #,Name,Uploaded At,Elo Rating,Network File,Raw TF Weights,Raw Elo,Raw Network URL,Raw TF URL
520,kata1-b60c320-s6423497472-d2977920515,2022-08-27 22:52:49 UTC,13495.1 ± 48.7 - (240 games),[Download],[Download],13495.1,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6423497472-d2977920515.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6423497472-d2977920515.zip
519,kata1-b60c320-s6397978112-d2971138356,2022-08-20 13:53:42 UTC,"13565.2 ± 21.4 - (1,383 games)",[Download],[Download],13565.2,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6397978112-d2971138356.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6397978112-d2971138356.zip
518,kata1-b60c320-s6372316160-d2964581281,2022-08-06 21:53:44 UTC,"13562.3 ± 19.2 - (1,695 games)",[Download],[Download],13562.3,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6372316160-d2964581281.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6372316160-d2964581281.zip
517,kata1-b60c320-s6347128576-d2958099273,2022-07-28 02:33:54 UTC,"13551.0 ± 19.1 - (1,699 games)",[Download],[Download],13551,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6347128576-d2958099273.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6347128576-d2958099273.zip
516,kata1-b60c320-s6321537280-d2951683615,2022-07-20 04:27:31 UTC,"13582.1 ± 17.0 - (2,252 games)",[Download],[Download],13582.1,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6321537280-d2951683615.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6321537280-d2951683615.zip
515,kata1-b40c256-s12012407552-d2946075930,2022-07-13 09:07:44 UTC,"13442.7 ± 17.7 - (1,695 games)",[Download],[Download],13442.7,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b40c256-s12012407552-d2946075930.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b40c256-s12012407552-d2946075930.zip
514,kata1-b60c320-s6296215552-d2944999997,2022-07-12 05:53:59 UTC,"13575.4 ± 18.1 - (1,916 games)",[Download],[Download],13575.4,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6296215552-d2944999997.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6296215552-d2944999997.zip
513,kata1-b60c320-s6270697728-d2938451939,2022-07-07 04:47:33 UTC,"13566.9 ± 19.3 - (1,700 games)",[Download],[Download],13566.9,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6270697728-d2938451939.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6270697728-d2938451939.zip
512,kata1-b60c320-s6245316352-d2932051988,2022-07-03 16:26:58 UTC,"13577.4 ± 16.8 - (2,262 games)",[Download],[Download],13577.4,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6245316352-d2932051988.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6245316352-d2932051988.zip
511,kata1-b60c320-s6220126976-d2925574164,2022-07-01 20:46:38 UTC,"13567.8 ± 19.1 - (1,762 games)",[Download],[Download],13567.8,https://media.katagotraining.org/uploaded/networks/models/kata1/kata1-b60c320-s6220126976-d2925574164.bin.gz,https://media.katagotraining.org/uploaded/networks/zips/kata1/kata1-b60c320-s6220126976-d2925574164.zip
